fecha,presion_media,presion_min,presion_max,presion_desv,humedad_media,humedad_min,humedad_max,humedad_desv,viento_media,viento_min,viento_max,viento_desv,rafaga_media,rafaga_min,rafaga_max,rafaga_desv,viento_norte,viento_este,direccion_viento,registros_del_dia,anio,dia_del_anio,estacion_anio,mes,sector_viento,temp_max_manana
2009-01-01,999.1456,996.5,1000.87,1.3993,0.91086,0.875,94.8,1.765,0.7786,0.05,1.55964121,0.5753,1.3783,0.25,2.25557673,0.8488,-0.3618,-0.0223,183.5308,143,2009,1,invierno,January,S,-2.12
2009-01-02,999.6006,997.93,1002.65,1.5039,0.920868,86.6,96.3,2.7588,1.4195,0.22,3.87,0.9168,2.2274,0.63,6.13,1.2544,0.4267,0.3689,40.8436,144,2009,2,invierno,JULY,NE,-0.82
2009-01-03,998.5486,993.05,1002.49,3.1304,76.4581,48.39,93.9,15.1796,1.2509,0.12,3.64,0.7299,2.0651,0.38,4.88,0.933,-0.6993,-0.5268,216.9916,144,2009,3,invierno,January,SO,-0.63
2009-01-04,988.5107,985.12,992.93,2.3223,89.4174,97.94670350485465,,4.4904,1.7204,0.54,2.45441545,0.7023,3.5649,1.38,4.43037523,1.1835,-1.1268,-1.0413,222.7419,144,2009,4,invierno,JANUARY,SO,-1.44
2009-01-05,990.4057,,997.54,4.2315,86.2604,74.6,93.2,5.3922,3.8003,1.0,7.81,1.9521,5.94,2.13,10.88,,2.6275,0.2874,6.2418,,2009,5,East,January,N,-10.88
2009-01-06,997.053,,998.49,1.2689,83.7747,67.31,89.3,4.8864,1.2268,0.2,2.1250888199999998,0.6322,2.0977,0.5,2.7961695,0.8766,0.6808,-0.0178,358.5028,144,2009,6,invierno,January,N,
2009-01-07,993.5064,991.5,998.41,1.8001,85.6597,80.8,93.4,3.1011,0.7225,0.08,1.1371089300000001,0.3202,1.4833,,2.33014125,0.5552,-0.5664,0.1691,163.3723,144,2009,7,invierno,January,S,-4.06
2009-01-08,1002.9697,,1004.61,1.5812,87.5826,75.1,92.5,5.2771,0.8702,0.06,2.94,0.6658,1.4436,0.25,4.13,0.87,-0.7479,0.0034,179.7388,144,2009,8,,May,S,-3.61
2009-01-09,1003.1133,1002.04,1003.87,0.474,0.839762,0.928437207287439,59.98,9.0218,0.6638,0.19,1.61,0.3116,1.2378,0.5,2.5,0.447,-0.5115,0.0161,178.1928,144,2009,9,invierno,Enero,South,-2.24
2009-01-10,1002.9676,1002.08,1003.99,0.6683,82.3408,59.67,93.0,10.8955,0.6665,,2.14,0.3778,1.3066,0.38,3.88,0.5674,-0.5302,0.0725,172.208,144,2009,10,Estacion_Desconocida,,S,-0.13
